"","Param","starting_value","Lower","MLE","Upper","final_gradient","summary(Opt$SD, ""fixed"")[, ""Std. Error""]"
"log_d0","log_d0",0,-Inf,4.2042152330218,Inf,5.70944991666547e-08,0.252015718084337
"log_sigmaP","log_sigmaP",1,-Inf,-1.52772206019661,Inf,4.02960706804333e-08,0.156722880918147
"alpha","alpha",0,-Inf,2.12296839434053,Inf,-1.14044039858778e-07,0.753630593218351
"rho","rho",0,-Inf,0.534989059737808,Inf,-5.77914213419342e-07,0.165465200289098
